energy_mean,energy_std,type_comms,n_obs,n_hops,n_deps,data_size,srv_tplgy_index
172.47,0.00,pull,1,2,2,1,0
45.59,0.00,pull,1,1,1,1000,0
86.21,0.00,pull,1,2,1,1000,0
987.80,0.00,pull,1,3,4,100000,0
182.92,0.00,pull,1,2,2,100000,0
255.73,0.00,pull,1,2,3,100000,0
99.86,0.00,pull,1,1,3,1000,0
506.12,0.00,pull,1,3,2,100000,0
447.35,0.00,pull,1,2,4,100000,0
45.54,0.00,pull,1,1,1,1,0
746.10,0.00,pull,1,3,3,1000,0
72.73,0.00,pull,1,1,2,1000,0
245.34,0.00,pull,1,2,3,1,0
172.57,0.00,pull,1,2,2,1000,0
152.88,0.00,pull,1,1,4,100000,0
50.86,0.00,pull,1,1,1,100000,0
971.36,0.00,pull,1,3,4,1,0
245.44,0.00,pull,1,2,3,1000,0
99.81,0.00,pull,1,1,3,1,0
105.13,0.00,pull,1,1,3,100000,0
77.99,0.00,pull,1,1,2,100000,0
72.68,0.00,pull,1,1,2,1,0
971.53,0.00,pull,1,3,4,1000,0
745.93,0.00,pull,1,3,3,1,0
436.99,0.00,pull,1,2,4,1,0
437.10,0.00,pull,1,2,4,1000,0
126.99,0.00,pull,1,1,4,1000,0
764.25,0.00,pull,1,3,3,100000,0
126.94,0.00,pull,1,1,4,1,0
86.11,0.00,pull,1,2,1,1,0
185.34,0.00,pull,1,3,1,1,0
185.57,0.00,pull,1,3,1,1000,0
96.74,0.00,pull,1,2,1,100000,0
201.31,0.00,pull,1,3,1,100000,0
490.33,0.00,pull,1,3,2,1,0
490.55,0.00,pull,1,3,2,1000,0
50.86,0.00,pull_anticipation,1,1,1,100000,0
154.41,0.00,pull_anticipation,1,2,3,100000,0
134.76,0.00,pull_anticipation,1,1,4,100000,0
167.63,0.00,pull_anticipation,1,2,4,1000,0
99.88,0.00,pull_anticipation,1,1,3,1000,0
108.51,0.00,pull_anticipation,1,1,3,100000,0
99.80,0.00,pull_anticipation,1,1,3,1,0
45.54,0.00,pull_anticipation,1,1,1,1,0
86.21,0.00,pull_anticipation,1,2,1,1000,0
127.00,0.00,pull_anticipation,1,1,4,1000,0
113.24,0.00,pull_anticipation,1,2,2,1,0
126.91,0.00,pull_anticipation,1,1,4,1,0
80.55,0.00,pull_anticipation,1,1,2,100000,0
72.75,0.00,pull_anticipation,1,1,2,1000,0
45.59,0.00,pull_anticipation,1,1,1,1000,0
126.44,0.00,pull_anticipation,1,2,2,100000,0
140.36,0.00,pull_anticipation,1,2,3,1,0
167.48,0.00,pull_anticipation,1,2,4,1,0
86.11,0.00,pull_anticipation,1,2,1,1,0
72.68,0.00,pull_anticipation,1,1,2,1,0
180.65,0.00,pull_anticipation,1,2,4,100000,0
113.37,0.00,pull_anticipation,1,2,2,1000,0
96.74,0.00,pull_anticipation,1,2,1,100000,0
140.50,0.00,pull_anticipation,1,2,3,1000,0
138.48,0.00,push,1,2,4,1,0
107.04,0.00,push,1,1,3,100000,0
67.29,0.00,push,1,3,1,1,0
97.97,0.00,push,1,2,2,100000,0
78.02,0.00,push,1,1,2,100000,0
135.21,0.00,push,1,1,4,100000,0
50.75,0.00,push,1,1,1,100000,0
122.18,0.00,push,1,3,3,1000,0
156.31,0.00,push,1,2,4,100000,0
90.23,0.00,push,1,3,1,100000,0
176.98,0.00,push,1,3,4,100000,0
138.71,0.00,push,1,2,4,1000,0
84.09,0.00,push,1,2,2,1000,0
67.54,0.00,push,1,3,1,1000,0
83.94,0.00,push,1,2,2,1,0
70.71,0.00,push,1,2,1,100000,0
127.37,0.00,push,1,2,3,100000,0
100.19,0.00,push,1,1,3,1,0
94.81,0.00,push,1,3,2,1000,0
127.57,0.00,push,1,1,4,1000,0
117.49,0.00,push,1,3,2,100000,0
72.90,0.00,push,1,1,2,1,0
100.33,0.00,push,1,1,3,1000,0
56.83,0.00,push,1,2,1,1000,0
111.47,0.00,push,1,2,3,1000,0
147.28,0.00,push,1,3,3,100000,0
94.56,0.00,push,1,3,2,1,0
149.10,0.00,push,1,3,4,1,0
56.67,0.00,push,1,2,1,1,0
45.63,0.00,push,1,1,1,1,0
72.95,0.00,push,1,1,2,1000,0
149.43,0.00,push,1,3,4,1000,0
121.85,0.00,push,1,3,3,1,0
111.23,0.00,push,1,2,3,1,0
45.69,0.00,push,1,1,1,1000,0
127.44,0.00,push,1,1,4,1,0
