energy_mean,energy_std,type_comms,n_obs,n_hops,n_deps,data_size,srv_tplgy_index
114.13,0.00,pull,1,2,2,1,0
26.06,0.00,pull,1,1,1,1000,0
58.07,0.00,pull,1,2,1,1000,0
621.32,0.00,pull,1,3,4,100000,0
114.13,0.00,pull,1,2,2,100000,0
157.93,0.00,pull,1,2,3,100000,0
26.07,0.00,pull,1,1,3,1000,0
314.74,0.00,pull,1,3,2,100000,0
314.74,0.00,pull,1,2,4,100000,0
26.06,0.00,pull,1,1,1,1,0
477.04,0.00,pull,1,3,3,1000,0
26.06,0.00,pull,1,1,2,1000,0
157.93,0.00,pull,1,2,3,1,0
114.13,0.00,pull,1,2,2,1000,0
57.40,0.00,pull,1,1,4,100000,0
26.06,0.00,pull,1,1,1,100000,0
621.32,0.00,pull,1,3,4,1,0
157.93,0.00,pull,1,2,3,1000,0
26.07,0.00,pull,1,1,3,1,0
26.07,0.00,pull,1,1,3,100000,0
26.07,0.00,pull,1,1,2,100000,0
26.06,0.00,pull,1,1,2,1,0
621.32,0.00,pull,1,3,4,1000,0
477.04,0.00,pull,1,3,3,1,0
314.33,0.00,pull,1,2,4,1,0
314.33,0.00,pull,1,2,4,1000,0
26.07,0.00,pull,1,1,4,1000,0
477.04,0.00,pull,1,3,3,100000,0
26.07,0.00,pull,1,1,4,1,0
58.07,0.00,pull,1,2,1,1,0
114.35,0.00,pull,1,3,1,1,0
114.35,0.00,pull,1,3,1,1000,0
58.07,0.00,pull,1,2,1,100000,0
114.35,0.00,pull,1,3,1,100000,0
314.33,0.00,pull,1,3,2,1,0
314.33,0.00,pull,1,3,2,1000,0
26.06,0.00,pull_anticipation,1,1,1,100000,0
58.22,0.00,pull_anticipation,1,2,3,100000,0
27.87,0.00,pull_anticipation,1,1,4,100000,0
58.07,0.00,pull_anticipation,1,2,4,1000,0
26.06,0.00,pull_anticipation,1,1,3,1000,0
26.07,0.00,pull_anticipation,1,1,3,100000,0
26.06,0.00,pull_anticipation,1,1,3,1,0
26.06,0.00,pull_anticipation,1,1,1,1,0
58.07,0.00,pull_anticipation,1,2,1,1000,0
26.07,0.00,pull_anticipation,1,1,4,1000,0
58.07,0.00,pull_anticipation,1,2,2,1,0
26.07,0.00,pull_anticipation,1,1,4,1,0
26.07,0.00,pull_anticipation,1,1,2,100000,0
26.06,0.00,pull_anticipation,1,1,2,1000,0
26.06,0.00,pull_anticipation,1,1,1,1000,0
58.07,0.00,pull_anticipation,1,2,2,100000,0
58.07,0.00,pull_anticipation,1,2,3,1,0
58.07,0.00,pull_anticipation,1,2,4,1,0
58.07,0.00,pull_anticipation,1,2,1,1,0
26.06,0.00,pull_anticipation,1,1,2,1,0
58.22,0.00,pull_anticipation,1,2,4,100000,0
58.07,0.00,pull_anticipation,1,2,2,1000,0
58.07,0.00,pull_anticipation,1,2,1,100000,0
58.07,0.00,pull_anticipation,1,2,3,1000,0
26.32,0.00,push,1,2,4,1,0
27.87,0.00,push,1,1,3,100000,0
26.67,0.00,push,1,3,1,1,0
26.32,0.00,push,1,2,2,100000,0
26.07,0.00,push,1,1,2,100000,0
29.68,0.00,push,1,1,4,100000,0
26.06,0.00,push,1,1,1,100000,0
26.67,0.00,push,1,3,3,1000,0
30.08,0.00,push,1,2,4,100000,0
26.67,0.00,push,1,3,1,100000,0
30.08,0.00,push,1,3,4,100000,0
26.32,0.00,push,1,2,4,1000,0
26.32,0.00,push,1,2,2,1000,0
26.67,0.00,push,1,3,1,1000,0
26.32,0.00,push,1,2,2,1,0
26.32,0.00,push,1,2,1,100000,0
27.87,0.00,push,1,2,3,100000,0
26.06,0.00,push,1,1,3,1,0
26.67,0.00,push,1,3,2,1000,0
26.07,0.00,push,1,1,4,1000,0
26.67,0.00,push,1,3,2,100000,0
26.06,0.00,push,1,1,2,1,0
26.06,0.00,push,1,1,3,1000,0
26.32,0.00,push,1,2,1,1000,0
26.32,0.00,push,1,2,3,1000,0
27.87,0.00,push,1,3,3,100000,0
26.67,0.00,push,1,3,2,1,0
26.67,0.00,push,1,3,4,1,0
26.32,0.00,push,1,2,1,1,0
26.06,0.00,push,1,1,1,1,0
26.06,0.00,push,1,1,2,1000,0
26.67,0.00,push,1,3,4,1000,0
26.67,0.00,push,1,3,3,1,0
26.32,0.00,push,1,2,3,1,0
26.06,0.00,push,1,1,1,1000,0
26.07,0.00,push,1,1,4,1,0
