energy_mean,energy_std,type_comms,n_obs,n_hops,n_deps,data_size,srv_tplgy_index
25.39,0.00,pull,1,2,2,1,0
3.96,0.00,pull,1,1,1,1000,0
12.75,0.00,pull,1,2,1,1000,0
184.68,0.00,pull,1,3,4,100000,0
25.42,0.00,pull,1,2,2,100000,0
35.26,0.00,pull,1,2,3,100000,0
4.07,0.00,pull,1,1,3,1000,0
93.49,0.00,pull,1,3,2,100000,0
70.20,0.00,pull,1,2,4,100000,0
3.96,0.00,pull,1,1,1,1,0
141.76,0.00,pull,1,3,3,1000,0
4.02,0.00,pull,1,1,2,1000,0
35.23,0.00,pull,1,2,3,1,0
25.39,0.00,pull,1,2,2,1000,0
8.57,0.00,pull,1,1,4,100000,0
4.00,0.00,pull,1,1,1,100000,0
184.65,0.00,pull,1,3,4,1,0
35.23,0.00,pull,1,2,3,1000,0
4.07,0.00,pull,1,1,3,1,0
4.12,0.00,pull,1,1,3,100000,0
4.06,0.00,pull,1,1,2,100000,0
4.02,0.00,pull,1,1,2,1,0
184.65,0.00,pull,1,3,4,1000,0
141.76,0.00,pull,1,3,3,1,0
70.19,0.00,pull,1,2,4,1,0
70.19,0.00,pull,1,2,4,1000,0
4.13,0.00,pull,1,1,4,1000,0
141.79,0.00,pull,1,3,3,100000,0
4.13,0.00,pull,1,1,4,1,0
12.75,0.00,pull,1,2,1,1,0
33.84,0.00,pull,1,3,1,1,0
33.84,0.00,pull,1,3,1,1000,0
12.80,0.00,pull,1,2,1,100000,0
33.90,0.00,pull,1,3,1,100000,0
93.46,0.00,pull,1,3,2,1,0
93.46,0.00,pull,1,3,2,1000,0
4.00,0.00,pull_anticipation,1,1,1,100000,0
12.92,0.00,pull_anticipation,1,2,3,100000,0
4.17,0.00,pull_anticipation,1,1,4,100000,0
12.92,0.00,pull_anticipation,1,2,4,1000,0
4.07,0.00,pull_anticipation,1,1,3,1000,0
4.12,0.00,pull_anticipation,1,1,3,100000,0
4.07,0.00,pull_anticipation,1,1,3,1,0
3.96,0.00,pull_anticipation,1,1,1,1,0
12.75,0.00,pull_anticipation,1,2,1,1000,0
4.13,0.00,pull_anticipation,1,1,4,1000,0
12.80,0.00,pull_anticipation,1,2,2,1,0
4.13,0.00,pull_anticipation,1,1,4,1,0
4.06,0.00,pull_anticipation,1,1,2,100000,0
4.01,0.00,pull_anticipation,1,1,2,1000,0
3.96,0.00,pull_anticipation,1,1,1,1000,0
12.86,0.00,pull_anticipation,1,2,2,100000,0
12.86,0.00,pull_anticipation,1,2,3,1,0
12.92,0.00,pull_anticipation,1,2,4,1,0
12.75,0.00,pull_anticipation,1,2,1,1,0
4.01,0.00,pull_anticipation,1,1,2,1,0
12.96,0.00,pull_anticipation,1,2,4,100000,0
12.80,0.00,pull_anticipation,1,2,2,1000,0
12.80,0.00,pull_anticipation,1,2,1,100000,0
12.86,0.00,pull_anticipation,1,2,3,1000,0
6.07,0.00,push,1,2,4,1,0
4.14,0.00,push,1,1,3,100000,0
7.83,0.00,push,1,3,1,1,0
6.01,0.00,push,1,2,2,100000,0
4.06,0.00,push,1,1,2,100000,0
4.41,0.00,push,1,1,4,100000,0
4.01,0.00,push,1,1,1,100000,0
7.95,0.00,push,1,3,3,1000,0
6.60,0.00,push,1,2,4,100000,0
7.90,0.00,push,1,3,1,100000,0
8.79,0.00,push,1,3,4,100000,0
6.07,0.00,push,1,2,4,1000,0
5.95,0.00,push,1,2,2,1000,0
7.84,0.00,push,1,3,1,1000,0
5.95,0.00,push,1,2,2,1,0
5.95,0.00,push,1,2,1,100000,0
6.17,0.00,push,1,2,3,100000,0
4.07,0.00,push,1,1,3,1,0
7.89,0.00,push,1,3,2,1000,0
4.13,0.00,push,1,1,4,1000,0
7.96,0.00,push,1,3,2,100000,0
4.01,0.00,push,1,1,2,1,0
4.07,0.00,push,1,1,3,1000,0
5.90,0.00,push,1,2,1,1000,0
6.01,0.00,push,1,2,3,1000,0
8.19,0.00,push,1,3,3,100000,0
7.89,0.00,push,1,3,2,1,0
8.00,0.00,push,1,3,4,1,0
5.90,0.00,push,1,2,1,1,0
3.96,0.00,push,1,1,1,1,0
4.01,0.00,push,1,1,2,1000,0
8.01,0.00,push,1,3,4,1000,0
7.95,0.00,push,1,3,3,1,0
6.01,0.00,push,1,2,3,1,0
3.96,0.00,push,1,1,1,1000,0
4.13,0.00,push,1,1,4,1,0
